Time Stamp, a, b
2018110611145, 0.9983066+/-0.0000027, -0.6+/-0.7
2018110614380, 1.0021459+/-0.0000020, -0.5+/-0.6
2018110616593, 1.006367+/-0.000012, -3.3+/-2.7
2018111210511, 1.004232+/-0.000004, -0.7+/-1.1
2018111211011, 1.006049+/-0.000015, -2.0+/-2.3
2018111211112, 1.003300+/-0.000005, -1.0+/-1.3
2018111211221, 1.003505+/-0.000006, -0.9+/-1.3
2018111211324, 1.003612+/-0.000007, -1.0+/-1.4
2018111211430, 1.003271+/-0.000004, -0.9+/-1.2
2018111310091, 1.000635+/-0.000006, -1.0+/-1.3
2018111310192, 1.000728+/-0.000006, -1.0+/-1.4
2018111310293, 1.004394+/-0.000004, -0.6+/-0.8
